platform,comment
instagram,"Muito estranho o que acontece em relação a esse plano de saúde. Por quê com tantas denúncias a justiça não faz nada , não toma providências? A vigilância Sanitária, a ANS, Ministério Público, alguma coisa coisa tem que ser feita. Descaso total com os clientes."
instagram,O hospital Antônio prudente matou minha mãe. UTI do SUS é muito melhor
instagram,"Precisei quase quebrar o Luis de França para minha filha fazer um Raio X. Passou por 3 médicos e todos falavam que era apenas um gripe normal....Depois de voltar da segunda vez e pedir um Raio X, a médica se assustou e disse: ""Sua filha esta com pneumonia grave""."
instagram,"Sempre o Hapvida. Quando não é com pacientes, é com os colaboradores!"
instagram,"Todo dia surge um descaso referente a essa empresa, impressionante"
instagram,"Meu filho de três meses estava com infecção urinária, fui no Ana lima no Maracanaú o médico disse que ele precisava ficar internado..com URGÊNCIA, negaram internar ele por conta da carência dele ...sendo que a carência do pai dele que paga há anos tinha que passar pra ele ,mais negaram mesmo assim , disseram que não podia fazer nada, mandaram eu procurar o SUS...meu filho chorava de dor ao urina e estava com febre ..fui pro hospital da criança de Fortaleza, chegando lá fui muito bem atendida ,passou sete dias internado e foi muito bem recebido e atendido... Viva o SUS"
instagram,"Se com 1 funcionária em tratamento do câncer eles nem se importaram e demitiram,com quem paga não iria ser diferente 😢!!"
instagram,"Não fiquem tentando “amigavelmente” algo que é obrigação do plano. Entrem por via judicial, para requerer seus direitos. É saúde, vida… não pode esperar."
instagram,Essa rede ai já é conhecida pelos descasos.
instagram,"Eu estava desfalecendo na frente da médica no Antônio Prudente de tanta dor, ela foi tão desumana comigo 😢 eu passei mais de 40 minutos aguardando por medicação, eu gemia de dor, eu já não sabia mais nem quem eu era, e pasmem de tanta humilhação que u voltei pra casa, mesmo com dores exorbitantes, no dia seguinte descobri um ovário torcido e passei por cirurgia em outro hospital!!!! Mais jamais esquecerei do qual mau tratada eu fui no Antônio Prudente e já troquei de plano 🙌"
