platform,comment
instagram,👏👏👏
instagram,"Quando o magistrado tem ética, ele prefere se declarar ""suspeito"" (em termos jurídicos como descritos na matéria), ao invés de participar de um crime. Seria bom que mais advogados, desembargadores, promotores e Juízes agissem dessa forma, tivessem essa moral e ética."
instagram,Nome: ética
instagram,"Parabéns, quando não se tem e não quer ter rabo preso, tem essa atitude!!! 👏👏👏"
instagram,👏👏👏👏👏
instagram,👏👏👏👏
instagram,Isso é uma dos atributos mais importantes que se espera de um juiz: ética! Orgulho de ter trabalhado com o Des. Evaldo!
instagram,👏👏👏👏
instagram,impressionante a justiça precisa de mais profissionais assim 👏🏻👏🏻
instagram,Que o exemplo se perpetue a toda classe
