platform,comment
instagram,"Meu Deus, essa princesa parece com meu filho quando era novinho, e agora tbm❤️😍"
instagram,Aqui foi igual 😂😂
instagram,Mesmo cacheados ainda é lindo 😍😍😍
instagram,Kkkkkkkkkkkkkkkkkkkk vou fazer tbm 😂😂
instagram,Um anjo lindo do cabelo cacheadinho.🥰
instagram,😍😍😍
instagram,"Ficou nuito mais lindo, esse cabelão com esses cachos coisa mais linda 😍"
instagram,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰
instagram,Ficou mais lindo ainda😍
instagram,O do meu menino era exatamente assim kkkk pois quando cortou os cachinhos ficou liso haha até hj 😂 acho que o seu vai tmb em
