platform,comment
instagram,"""filma aq Mozão, filma eu Mozão"" kakakakakaka"
instagram,"""pode leite condensado?"" Ele já lascando leite condensado 😂"
instagram,"Anem que trem nada haver, colocar leite condensado na manga com sal."
instagram,"Pelo amor de Deus, trás para Rondônia! 😍"
instagram,"Nossa mano muito bom manga com sal mas ai as coisas mudaram em, lemo Pepper ohhh coisa boa nunca pensei, queria visitar esse lugar, nem acredito tem um lugar assim que so vende manga temperada 😍"
instagram,"Enviadaram a manga, triste ☹️"
instagram,É muita sacanagem ver isso só pelo insta haha cadê a loja no Sul? 😍🔥🙌
instagram,"Mistura estranha, páprica, lemom peper , leite condensado, sei nao"
instagram,Onde é o mango mix ?
instagram,ONDE FICAA😢😢 VIAJO SÓ PRA COMERR!!!
