platform,comment
instagram,"Agora peça a ela para cortar para o neto, até esteriliza a faca😂"
instagram,Hoje eu descobri que nenhuma experiência é individual meeeesmo kkkkk
instagram,Já chupei bastante laranja com gosto de alho kkkkkkkk
instagram,A Melancia fica com gosto de tudo menos de Melancia 😂😂😂
instagram,Sabor: geladeira 😂😂😂
instagram,"Às vezes eu não sabia exatamente o que estava comendo, tinha gosto de tudo, menos da fruta 😂 Coisas de mãe 😂"
instagram,Meu amigo… num sei onde tu puxa tanta memória kkk… pqp
instagram,Kkkkkkkkkk era um gosto de cebola triste
instagram,Sabor de melancia mais com gosto de cebola que parece salsinha 😂 tá igual o refresco do chaves 😂
instagram,E eu achava que só acontecia isso na minha casa 😂😂😂😂😂😂😂😂😂
